   10.7435236       6.05563784       10.1597900    
   9.98559570       6.43302870       9.66915321    
   9.22766781       6.81041956       9.17851639    
   8.46973991       7.18781042       8.68787956    
   7.71181202       7.56520128       8.19724274    
   6.95388412       7.94259214       7.70660591    
   6.19595623       8.31998253       7.21596909    
   5.43802834       8.69737339       6.72533226    
   4.68010044       9.07476425       6.23469543    
   3.92217278       9.45215511       5.74405861    
   3.16424513       9.82954597       5.25342178    
   2.40631747       9.45215511       4.76278496    
   1.64838982       9.07476425       4.27214813    
  0.890462160       8.69737339       3.78151131    
  0.132534504       8.31998253       3.29087448    
  0.890462160       7.94259167       2.80023766    
   1.64838982       7.56520081       2.30960083    
   2.40631747       7.18780994       1.81896400    
   3.16424513       6.81041908       1.32832718    
   3.92217278       6.43302822      0.837690294    
   4.68010044       6.05563736      0.347053409    
   5.43802834       5.67824650      0.837690294    
   6.19595623       5.30085564       1.32832718    
   6.95388412       4.92346478       1.81896400    
   7.71181202       4.54607391       2.30960083    
   8.46973991       4.16868305       2.80023766    
   9.22766781       3.79129219       3.29087448    
   9.98559570       3.41390133       3.78151131    
   9.22766781       3.03651047       4.27214813    
   8.46973991       2.65911961       4.76278496    
   7.71181202       2.28172874       5.25342178    
   6.95388412       1.90433788       5.74405861    
   6.19595623       1.52694702       6.23469543    
   5.43802834       1.14955616       6.72533226    
   4.68010044      0.772165298       7.21596909    
   3.92217278      0.394774437       7.70660591    
   3.16424513      0.772165298       8.19724274    
   2.40631747       1.14955616       8.68787956    
   1.64838982       1.52694702       9.17851639    
  0.890462160       1.90433788       9.66915321    
  0.132534504       2.28172874       9.17851639    
  0.890462160       2.65911961       8.68787956    
   1.64838982       3.03651047       8.19724274    
   2.40631747       3.41390133       7.70660591    
   3.16424513       3.79129219       7.21596909    
   3.92217278       4.16868305       6.72533226    
   4.68010044       4.54607391       6.23469543    
   5.43802834       4.92346478       5.74405861    
   6.19595623       5.30085564       5.25342178    
   6.95388412       5.67824650       4.76278496    
   7.71181202       6.05563736       4.27214813    
   8.46973991       6.43302822       3.78151131    
   9.22766781       6.81041908       3.29087448    
   9.98559570       7.18780994       2.80023766    
   9.22766781       7.56520081       2.30960083    
